score,id_hex,id_dec,floor,kind,n_levels,levels,n_cohorts,cohort_ids,n_clusters,cluster_ids,visual_role,visual_name_guess,attack_hint,reasons
20.0,0x81100030,2165309488,12,sprite,1,MENU,2,C0270;C0283,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x84004480,2214610048,12,sprite,1,BOIL,0,,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x8569a090,2238292112,12,sprite,1,EGGS,1,C0228,1,K0207,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x987140d0,2557558992,12,sprite,1,BRG1,0,,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0xa0149114,2685702420,12,sprite,1,WIZZ,1,C0085,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0xa0cc18d0,2697730256,12,sprite,1,WIZZ,1,C0094,1,K0219,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0xec95689b,3969214619,12,sprite,1,MENU,1,C0286,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x002e2414,3023892,13,sprite,1,FOOD,1,C0161,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x00880c1e,8915998,13,audio,1,MENU,3,C0278;C0279;C0288,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x01680261,23593569,13,audio,1,KLOG,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x02e900c0,48824512,13,audio,1,MENU,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x069480a0,110395552,13,sprite,1,RUNN,0,,1,K0216,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x086e44c0,141444288,13,audio,1,EVIL,1,C0160,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x09382152,154673490,13,sprite,1,MEGA,1,C0113,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x09993072,161034354,13,sprite,1,MEGA,1,C0147,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x0c3082c3,204505795,13,audio,1,KLOG,1,C0129,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x0c78005c,209191004,13,sprite,1,GLEN,1,C0108,2,K0214;K0273,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x10094096,269041814,13,sprite,1,MENU,5,C0270;C0281;C0282;C0283;C0284,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x112ae088,288022664,13,sprite,1,EGGS,1,C0228,1,K0204,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x11eac4c0,300598464,13,audio,1,EVIL,1,C0160,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x193ca112,423403794,13,sprite,1,KLOG,2,C0132;C0133,2,K0209;K0274,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x1a202d81,438316417,13,sprite,1,RUNN,3,C0237;C0238;C0241,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x205e40c2,543047874,13,audio,1,EVIL,1,C0160,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x222222d8,572662488,13,sprite,1,EVIL,1,C0159,2,K0087;K0261,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x3099991b,815372571,13,sprite,1,MENU,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x3da80d13,1034423571,13,sprite,1,KLOG,2,C0250;C0252,1,K0205,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x402044c9,1075856585,13,audio,1,MEGA,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x408a1c10,1082792976,13,sprite,1,CAVE,0,,9,K0003;K0020;K0044;K0230;K0256;K0281;K0285;K0289;K0328,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x40da1c10,1088035856,13,sprite,1,FINN,0,,10,K0003;K0020;K0118;K0231;K0246;K0258;K0290;K0297;K0304;K0329,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x40ea1c10,1089084432,13,sprite,1,CLOU,0,,10,K0003;K0045;K0165;K0232;K0247;K0259;K0282;K0294;K0298;K0330,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x4148c374,1095287668,13,audio,1,RUNN,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x41ca1c10,1103764496,13,sprite,1,CRYS,0,,8,K0015;K0020;K0045;K0179;K0231;K0257;K0278;K0331,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x424129a1,1111566753,13,audio,1,WIZZ,1,C0096,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x42c11270,1119949424,13,audio,1,CAVE,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x42ca1c10,1120541712,13,sprite,1,CLOU,0,,8,K0015;K0044;K0167;K0180;K0232;K0245;K0258;K0332,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x44ca1c10,1154096144,13,sprite,1,TMPL,0,,7,K0015;K0020;K0117;K0181;K0230;K0246;K0259,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x48209640,1210095168,13,audio,1,KLOG,0,,2,K0033;K0170,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x48f843d4,1224229844,13,sprite,1,GLEN,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x49609640,1231066688,13,audio,1,KLOG,0,,2,K0033;K0170,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x49a09640,1235260992,13,audio,1,KLOG,0,,1,K0033,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x4c22d240,1277350464,13,audio,1,KLOG,0,,1,K0021,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x4d09d01c,1292488732,13,sprite,1,GLEN,1,C0249,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x5101c047,1359069255,13,audio,1,GLEN,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x512061c1,1361076673,13,audio,1,MEGA,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x524ec094,1380892820,13,sprite,23,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,11,K0002;K0007;K0014;K0063;K0076;K0081;K0082;K0130;K0309;K0313;K0319,,,dictionary,floor 13 (medium) | cluster has 6 visual labels | common asset (likely generic name)
20.0,0x5821c242,1478607426,13,audio,1,CLOU,0,,4,K0094;K0101;K0191;K0200,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x5a088840,1510508608,13,sprite,1,KLOG,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x60041650,1610880592,13,audio,1,CSTL,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x60680076,1617428598,13,audio,1,RUNN,1,C0241,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x6d209c95,1830853781,13,sprite,1,CSTL,1,C0064,1,K0138,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x800da102,2148376834,13,sprite,1,KLOG,1,C0130,2,K0010;K0050,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x800da116,2148376854,13,sprite,1,KLOG,1,C0130,4,K0010;K0050;K0153;K0233,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x800da11a,2148376858,13,sprite,1,KLOG,1,C0130,3,K0010;K0154;K0175,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x800da132,2148376882,13,sprite,1,KLOG,1,C0130,3,K0010;K0153;K0175,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x800da152,2148376914,13,sprite,1,KLOG,1,C0130,4,K0010;K0050;K0154;K0233,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x8068815c,2154332508,13,sprite,1,GLEN,0,,2,K0210;K0273,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x80b92212,2159616530,13,sprite,1,TMPL,1,C0309,1,K0088,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x81421850,2168592464,13,sprite,1,WIZZ,0,,1,K0141,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x82421850,2185369680,13,sprite,1,WIZZ,0,,1,K0141,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x826ca852,2188159058,13,audio,1,BOIL,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x8c29e08c,2351554700,13,sprite,1,GLEN,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0x9291d400,2459030528,13,audio,1,TMPL,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xa00a0c30,2685013040,13,sprite,1,CAVE,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xa0cc1cd0,2697731280,13,sprite,1,WIZZ,2,C0084;C0095,1,K0219,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xa2034840,2718124096,13,audio,1,WEED,0,,0,,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xb0107444,2953868356,13,audio,1,TMPL,0,,3,K0005;K0051;K0155,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xb0b07444,2964354116,13,audio,1,TMPL,0,,5,K0005;K0051;K0156;K0235;K0330,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xb1907444,2979034180,13,audio,1,TMPL,0,,5,K0005;K0052;K0156;K0234;K0331,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xb2907444,2995811396,13,audio,1,TMPL,0,,6,K0005;K0051;K0157;K0235;K0260;K0332,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xc8648260,3362030176,13,audio,1,KLOG,0,,2,K0038;K0177,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xc864b260,3362042464,13,audio,1,KLOG,0,,1,K0038,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xc864d260,3362050656,13,audio,1,KLOG,0,,2,K0038;K0177,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
20.0,0xcaadc032,3400384562,13,sprite,1,KLOG,1,C0127,2,K0209;K0215,,,dictionary,floor 13 (medium) | single-level (vocab constrained)
18.0,0x04084011,67649553,8,sprite,19,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0219,0,,,,exhaustive-floor,floor 8 (exhaustive borderline)
18.0,0x0a08c490,168346768,9,sprite,13,BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;GLID;MOSS;SEVN;SOAR;WEED;WIZZ,1,C0196,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x0a409040,172003392,9,audio,10,CLOU;CRYS;CSTL;EGGS;EVIL;MOSS;SEVN;SOAR;WEED;WIZZ,0,,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x12800031,310378545,9,sprite,9,BOIL;CAVE;CRYS;CSTL;EGGS;GLID;MOSS;SEVN;SNOW,1,C0301,2,K0086;K0267,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x28ce0610,684590608,9,sprite,4,CSTL;FOOD;SEVN;TMPL,1,C0037,5,K0004;K0046;K0148;K0223;K0249,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x4a806042,1249927234,9,audio,20,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLID;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED,2,C0013;C0033,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x6082c120,1619181856,9,audio,4,GLID;SCIE;SOAR;TMPL,1,C0011,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x8818a018,2283315224,9,sprite,12,BRG1;CAVE;CRYS;CSTL;EGGS;FOOD;GLID;HEAD;MOSS;TMPL;WEED;WIZZ,4,C0090;C0297;C0304;C0307,2,K0089;K0268,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x980c6211,2550948369,9,sprite,4,CAVE;EGGS;GLID;WEED,0,,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline)
18.0,0x0462e0bb,73588923,10,audio,11,BRG1;CAVE;CRYS;CSTL;EGGS;EVIL;FOOD;MEGA;PHRO;SCIE;TMPL,0,,3,K0099;K0103;K0109,,,exhaustive-floor+2,floor 10 (exhaustive borderline)
18.0,0x1000c042,268484674,10,audio,9,BOIL;BRG1;CRYS;MOSS;PHRO;SCIE;SNOW;SOAR;TMPL,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline)
18.0,0x40e28045,1088585797,10,audio,19,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0166,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline)
18.0,0x44c26454,1153590356,10,audio,13,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;MOSS;SNOW;TMPL,1,C0018,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline)
18.0,0x90a19011,2426507281,10,sprite,4,GLID;SCIE;SOAR;TMPL,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline)
18.0,0xb84968b0,3091818672,10,sprite,4,CAVE;EGGS;GLID;WEED,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline)
18.0,0xe0c00650,3770680912,10,audio,8,BOIL;BRG1;CRYS;MOSS;SCIE;SNOW;SOAR;TMPL,1,C0100,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline)
16.0,0x620ec210,1645134352,11,sprite,16,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;MOSS;PHRO;SCIE;SNOW;TMPL;WEED,0,,8,K0002;K0012;K0061;K0135;K0310;K0319;K0325;K0326,,,exhaustive-floor+2,floor 11 (medium) | cluster has 1 visual labels
16.0,0x63af8200,1672446464,15,sprite,2,FOOD;SNOW,0,,5,K0023;K0066;K0067;K0070;K0337,,,dictionary,cluster has 2 visual labels | only 2 levels (vocab somewhat constrained)
16.0,0x60181a0c,1612192268,16,sprite,2,PHRO;SCIE,1,C0067,2,K0024;K0174,,,dictionary,cluster has 1 visual labels | only 2 levels (vocab somewhat constrained)
14.0,0x08148300,135561984,11,sprite,3,EVIL;FINN;RUNN,0,,4,K0009;K0039;K0159;K0237,,,exhaustive-floor+2,floor 11 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x08188300,135824128,11,sprite,3,EVIL;FINN;RUNN,0,,4,K0009;K0017;K0221;K0238,,,exhaustive-floor+2,floor 11 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x08624580,140658048,11,sprite,2,BRG1;SOAR,1,C0023,0,,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x25d2c8d8,634570968,11,audio,3,BOIL;CSTL;TMPL,0,,3,K0112;K0184;K0198,,,exhaustive-floor+2,floor 11 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x2cda4604,752502276,11,sprite,3,BRG1;PHRO;SOAR,2,C0041;C0081,0,,,,exhaustive-floor+2,floor 11 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x34014841,872499265,11,audio,2,KLOG;RUNN,1,C0145,0,,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x40400270,1077936752,11,audio,2,BRG1;SOAR,0,,4,K0095;K0102;K0185;K0190,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x408a6461,1082811489,11,audio,3,BOIL;CLOU;TMPL,1,C0028,0,,,,exhaustive-floor+2,floor 11 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x48ca1c10,1221205008,11,sprite,2,CAVE;CRYS,0,,7,K0015;K0045;K0118;K0167;K0178;K0247;K0256,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x61841021,1636044833,11,audio,3,EVIL;SCIE;WIZZ,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x62000441,1644168257,11,audio,2,BRG1;SOAR,1,C0024,0,,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x6220a452,1646306386,11,audio,2,CSTL;MOSS,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x7000c248,1879097928,11,audio,2,PHRO;SCIE,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x72000210,1912603152,11,type700,0,,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | only 0 levels (vocab somewhat constrained)
14.0,0x78100250,2014315088,11,audio,2,PHRO;SCIE,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x00100125,1048869,12,type500,0,,0,,0,,,,dictionary,floor 12 (medium) | only 0 levels (vocab somewhat constrained)
14.0,0x004a981c,4888604,12,sprite,3,BOIL;CLOU;MOSS,0,,1,K0113,,,dictionary,floor 12 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x004c9138,5017912,12,sprite,3,CLOU;CRYS;SOAR,0,,0,,,,dictionary,floor 12 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x00c60046,12976198,12,type500,0,,0,,0,,,,dictionary,floor 12 (medium) | only 0 levels (vocab somewhat constrained)
14.0,0x0120e27a,18932346,12,audio,2,BRG1;SOAR,0,,3,K0103;K0182;K0187,,,dictionary,floor 12 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x02102152,34611538,12,audio,2,BOIL;FOOD,0,,0,,,,dictionary,floor 12 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x10031015,268636181,12,type700,0,,0,,0,,,,dictionary,floor 12 (medium) | only 0 levels (vocab somewhat constrained)
14.0,0x404c5919,1078745369,12,sprite,2,SCIE;SNOW,0,,1,K0105,,,dictionary,floor 12 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x486002db,1214251739,12,audio,3,BOIL;CSTL;TMPL,0,,4,K0096;K0108;K0185;K0199,,,dictionary,floor 12 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x50412804,1346447364,12,type700,0,,0,,0,,,,dictionary,floor 12 (medium) | only 0 levels (vocab somewhat constrained)
14.0,0x5050c643,1347470915,12,audio,3,BOIL;CSTL;TMPL,0,,4,K0096;K0111;K0186;K0200,,,dictionary,floor 12 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x60889602,1619564034,12,audio,2,EVIL;SCIE,1,C0071,0,,,,dictionary,floor 12 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x70204350,1881162576,12,audio,2,BRG1;FOOD,0,,1,K0139,,,dictionary,floor 12 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0xec000027,3959423015,12,sprite,3,BRG1;PHRO;SOAR,1,C0081,0,,,,dictionary,floor 12 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x000cc8f8,837880,13,sprite,2,FOOD;TMPL,0,,0,,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x0101820a,16876042,13,type700,0,,0,,0,,,,dictionary,floor 13 (medium) | only 0 levels (vocab somewhat constrained)
14.0,0x081c8302,136086274,13,sprite,3,EVIL;FINN;RUNN,0,,1,K0093,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x081d8300,136151808,13,sprite,3,EVIL;FINN;RUNN,0,,5,K0009;K0017;K0039;K0220;K0240,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x081e8300,136217344,13,sprite,3,EVIL;FINN;RUNN,0,,5,K0009;K0146;K0159;K0239;K0248,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x10050221,268763681,13,type700,0,,0,,0,,,,dictionary,floor 13 (medium) | only 0 levels (vocab somewhat constrained)
14.0,0x40489938,1078499640,13,sprite,3,CLOU;CRYS;SOAR,0,,0,,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x428a6465,1116365925,13,audio,3,BOIL;CLOU;TMPL,1,C0028,0,,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x50408b61,1346407265,13,audio,3,EVIL;GLEN;SCIE,0,,0,,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x60830860,1619200096,13,audio,2,RUNN;SNOW,0,,0,,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x7c108244,2081456708,13,audio,3,CLOU;CRYS;SOAR,0,,1,K0140,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0x88210498,2283865240,13,sprite,2,CSTL;MOSS,1,C0074,0,,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x91a9d01d,2443825181,13,sprite,2,PHRO;SCIE,0,,0,,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0xb4011101,3019968769,13,sprite,3,BRG1;PHRO;SOAR,0,,0,,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0xb92c4850,3106687056,13,sprite,3,EGGS;GLID;WEED,0,,0,,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0xbebce258,3200049752,13,sprite,2,CSTL;SOAR,1,C0312,2,K0090;K0269,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0xcc6c8070,3429662832,13,audio,2,GLEN;KLOG,1,C0250,0,,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0xe4cb8330,3838542640,13,sprite,2,BRG1;SOAR,0,,0,,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0xe6830101,3867345153,13,sprite,3,BRG1;PHRO;SOAR,0,,0,,,,dictionary,floor 13 (medium) | only 3 levels (vocab somewhat constrained)
14.0,0xfc82d540,4236432704,13,audio,2,CLOU;WEED,0,,0,,,,dictionary,floor 13 (medium) | only 2 levels (vocab somewhat constrained)
14.0,0x0305a4f5,50701557,14,sprite,1,MENU,1,C0255,0,,,,dictionary,single-level (vocab constrained)
14.0,0x052aa082,86679682,14,sprite,1,EGGS,2,C0214;C0228,1,K0201,,,dictionary,single-level (vocab constrained)
14.0,0x069580a0,110461088,14,sprite,1,RUNN,1,C0145,1,K0216,,,dictionary,single-level (vocab constrained)
14.0,0x0708a4a0,118006944,14,sprite,1,EGGS,3,C0213;C0216;C0228,1,K0203,,,dictionary,single-level (vocab constrained)
14.0,0x08148ac2,135563970,14,audio,1,EGGS,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x0c34aa22,204778018,14,sprite,1,KLOG,2,C0131;C0152,0,,,,dictionary,single-level (vocab constrained)
14.0,0x10b91810,280565776,14,sprite,1,FINN,0,,6,K0000;K0018;K0041;K0225;K0251;K0275,,,dictionary,single-level (vocab constrained)
14.0,0x10b9481c,280578076,14,sprite,1,FINN,0,,7,K0000;K0043;K0048;K0275;K0280;K0284;K0288,,,dictionary,single-level (vocab constrained)
14.0,0x10b9501c,280580124,14,sprite,1,FINN,0,,7,K0000;K0019;K0149;K0228;K0279;K0292;K0296,,,dictionary,single-level (vocab constrained)
14.0,0x10b95a10,280582672,14,sprite,1,FINN,0,,10,K0000;K0011;K0042;K0058;K0115;K0243;K0251;K0284;K0292;K0301,,,dictionary,single-level (vocab constrained)
14.0,0x10b95c10,280583184,14,sprite,1,FINN,0,,10,K0000;K0018;K0040;K0116;K0225;K0241;K0254;K0288;K0296;K0302,,,dictionary,single-level (vocab constrained)
14.0,0x10b9781c,280590364,14,sprite,1,FINN,0,,4,K0000;K0019;K0150;K0229,,,dictionary,single-level (vocab constrained)
14.0,0x10b9d81c,280614940,14,sprite,1,FINN,0,,6,K0000;K0019;K0043;K0228;K0244;K0255,,,dictionary,single-level (vocab constrained)
14.0,0x10bb5810,280713232,14,sprite,1,FINN,0,,7,K0000;K0011;K0041;K0058;K0116;K0242;K0253,,,dictionary,single-level (vocab constrained)
14.0,0x168254b5,377640117,14,sprite,1,FINN,2,C0038;C0317,0,,,,dictionary,single-level (vocab constrained)
14.0,0x181c3854,404502612,14,sprite,1,WIZZ,1,C0090,0,,,,dictionary,single-level (vocab constrained)
14.0,0x21e90ca0,568921248,14,audio,1,MENU,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x2b79835d,729383773,14,sprite,1,GLEN,1,C0106,0,,,,dictionary,single-level (vocab constrained)
14.0,0x3c389550,1010341200,14,sprite,1,RUNN,1,C0236,0,,,,dictionary,single-level (vocab constrained)
14.0,0x407801d0,1081606608,14,sprite,1,GLEN,1,C0103,1,K0127,,,dictionary,single-level (vocab constrained)
14.0,0x486492c4,1214550724,14,audio,1,KLOG,1,C0127,0,,,,dictionary,single-level (vocab constrained)
14.0,0x612010c9,1629491401,14,audio,1,HEAD,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x62318245,1647411781,14,audio,1,GLEN,1,C0103,1,K0136,,,dictionary,single-level (vocab constrained)
14.0,0x686c1c97,1751915671,14,audio,1,MENU,4,C0268;C0269;C0273;C0274,0,,,,dictionary,single-level (vocab constrained)
14.0,0x6c289c1c,1814600732,14,sprite,1,CSTL,1,C0065,0,,,,dictionary,single-level (vocab constrained)
14.0,0x70a09ce1,1889574113,14,audio,1,HEAD,1,C0149,0,,,,dictionary,single-level (vocab constrained)
14.0,0x72a7d455,1923601493,14,audio,1,GLEN,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x7a318245,2050064965,14,audio,1,GLEN,1,C0102,1,K0136,,,dictionary,single-level (vocab constrained)
14.0,0x8524a880,2233772160,14,sprite,1,EGGS,1,C0228,1,K0206,,,dictionary,single-level (vocab constrained)
14.0,0x8a1940e1,2316910817,14,sprite,1,HEAD,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x90985240,2425901632,14,audio,1,TMPL,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x90d85954,2430097748,14,audio,1,PHRO,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x9180d446,2441139270,14,audio,1,CAVE,0,,0,,,,dictionary,single-level (vocab constrained)
14.0,0x92f8f1c0,2465788352,14,audio,1,MEGA,0,,1,K0085,,,dictionary,single-level (vocab constrained)
14.0,0x9629a000,2519310336,14,sprite,1,EGGS,1,C0228,1,K0207,,,dictionary,single-level (vocab constrained)
14.0,0xb7cce25e,3083657822,14,sprite,1,CSTL,1,C0311,2,K0264;K0269,,,dictionary,single-level (vocab constrained)
